Reviewer Name,Review Date,Review Content
l*****7,2021-08-25 14:10:10,"Order received in good condition. Hv yet to use to know its effectiveness. Recommended by a friend. Ordered yesterday, received today. Tq for the fast delivery."
kenvk,2021-08-25 14:10:10,Fast delivery and good packaging from seller.... haven't try yet ...
jamrazali,2021-08-25 14:10:10,Dh sampai...tq seller...puas hati...cepat sampai...brg dlm kondisi yg baik...semoga seller murah rezeki ye
yeeng156,2021-08-25 14:10:10,"Performance:not good

powerbank ad kembang dekat tepi 🥺macam mane ye ? nak refund ke mcm mne ni"
sunorhayani,2021-08-25 14:10:10,Pwerbank ok. Xda ada mslah.  Btri cepat masuk.  Sebang nak cas
mohd.faiz90,2021-08-25 14:10:10,"Durability:good

Padan dengan harga..tak try guna lagi, boleh la buat ghaso2"
m*****p,2021-08-25 14:10:10,Barang yang dipesan telah selamat diterima. Terima kasih. Ada cacat sedikit di port charger. Tapi oklah.. asalkan boleh charge dan guna pakai. Tq saler 👍
d*****8,2021-08-25 14:10:10,"Performance:Good
Durability:Around 2 years

My previous ones are broken, not able to use them. So I bought a new one. Until now, I have only bought this brand. After fully charged, it will be a little heavy."
9*****a,2021-08-25 14:10:10,"Performance:Very Good

Items already received with many thanks.. fast delivery 🚚👍"
c*****a,2021-08-25 14:10:10,"Durability:good
Performance:good

Sampai dalam keadaan yang baik. Boleh digunakan. Cuma cable agak ketat sedikit. Saya guna cable lain untuk charge."
gdji9ojlk7,2021-08-25 14:10:10,"Terimakasih seller,kualiti barang ok dan berfungsi dengan baik.packing cantik n fast delivery.layanan sangat baik"
p*****n,2021-08-25 14:10:10,Barang sampai cepat. Butang tepi tiada function. Bila nak cuba charge semula tak boleh...😡😡
rakticha88,2021-08-25 14:10:10,"Very fast delivery, next day received, even on Sunday...good quality of product, all functions well, hopefully can last longer...thks seller and j&t abang .."
c*****8,2021-08-25 14:10:10,"already third time purchase, Fast delivery, nice and worth to buy. good product quality recommend"
billa_lavender,2021-08-25 14:10:10,"Penghantaran pantas , powerband ringan .. harap tahan lama dan okay semasa digunakan"
leejohuat,2021-08-25 14:10:10,"Good product quality, good value for money. Correct item received."
,2021-08-25 14:10:10,terima barang dengan selamat. penghantaran pantas. harap dapat berfungsi dengan baik. tq seller
a*****n,2021-08-25 14:10:10,"Brg di terima dlm keadaan baik...
Powerbank brfungsi dgn baik...
Terima kasih..."
fashahidah92,2021-08-25 14:10:10,Item received in good condition thankfully.. fast service by seller
fariszahir98,2021-08-25 14:10:10,Berbaloi dgn harga 🤌🏻 barang pun sampai dengan cepat 👍🏻
